file_name,title,doc_type,publish_date,version_or_revision,clinical_scope,language,issuer,review_status,absolute_file_path
"Clinical management and infection prevention and control for mpox living guideline, May 2025.pdf","Clinical management and infection prevention and control for mpox living guideline, May 2025","guideline","2025-05","living guideline","icu_core","en","WHO","auto_extracted","C:\Ronald\ICU\data\guidelines\Clinical management and infection prevention and control for mpox living guideline, May 2025.pdf"
"Guidelines on hand hygiene in community settings.pdf","Guidelines on hand hygiene in community settings","guideline","2025","unknown","icu_related","en","WHO","auto_extracted","C:\Ronald\ICU\data\guidelines\Guidelines on hand hygiene in community settings.pdf"
"WHO consolidated guidelines on tuberculosis.pdf","WHO consolidated guidelines on tuberculosis","guideline","2025","unknown","icu_core","en","WHO","auto_extracted","C:\Ronald\ICU\data\guidelines\WHO consolidated guidelines on tuberculosis.pdf"
"WHO guideline on  HIV service delivery.pdf","WHO guideline on HIV service delivery","guideline","2025","unknown","icu_core","en","WHO","auto_extracted","C:\Ronald\ICU\data\guidelines\WHO guideline on  HIV service delivery.pdf"
"WHO guidelines for clinical management of arboviral diseases dengue, chikungunya, Zika and yellow fever.pdf","WHO guidelines for clinical management of arboviral diseases dengue, chikungunya, Zika and yellow fever","guideline","2025","unknown","icu_core","en","WHO","auto_extracted","C:\Ronald\ICU\data\guidelines\WHO guidelines for clinical management of arboviral diseases dengue, chikungunya, Zika and yellow fever.pdf"
"WHO guidelines for the treatment of patients with cystic echinococcosis.pdf","WHO guidelines for the treatment of patients with cystic echinococcosis","guideline","2025","unknown","icu_related","en","WHO","auto_extracted","C:\Ronald\ICU\data\guidelines\WHO guidelines for the treatment of patients with cystic echinococcosis.pdf"
"WHO guidelines on meningitis diagnosis,  treatment and care.pdf","WHO guidelines on meningitis diagnosis, treatment and care","guideline","2025","unknown","icu_core","en","WHO","auto_extracted","C:\Ronald\ICU\data\guidelines\WHO guidelines on meningitis diagnosis,  treatment and care.pdf"
